ProductName	ImageUrl
Telefon 128gb	https://images.unsplash.com/photo-1587043280264-962ba66c05fc?q=80&w=1936&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
Laptop 256gb SSD	https://images.pexels.com/photos/5700334/pexels-photo-5700334.jpeg?auto=compress&cs=tinysrgb&w=600
Smartwatch	https://images.pexels.com/photos/1682821/pexels-photo-1682821.jpeg?auto=compress&cs=tinysrgb&w=600
Bluetooth Kulaklık	https://images.pexels.com/photos/8004099/pexels-photo-8004099.jpeg?auto=compress&cs=tinysrgb&w=600
HD Televizyon	https://images.pexels.com/photos/15672527/pexels-photo-15672527/free-photo-of-televizyon-tv-naturmort-kar-yagisli.jpeg?auto=compress&cs=tinysrgb&w=600
Kadın Elbisesi	https://images.pexels.com/photos/291759/pexels-photo-291759.jpeg?auto=compress&cs=tinysrgb&w=600
Erkek Tişört	https://images.pexels.com/photos/4066288/pexels-photo-4066288.jpeg?auto=compress&cs=tinysrgb&w=600
Kadın Çantası	https://images.pexels.com/photos/23070928/pexels-photo-23070928/free-photo-of-kadin-sari-canta-kadin-cantasi.jpeg?auto=compress&cs=tinysrgb&w=600
Erkek Ayakkabı	https://images.pexels.com/photos/5496580/pexels-photo-5496580.jpeg?auto=compress&cs=tinysrgb&w=600
Kadın Ceket	https://images.pexels.com/photos/27056103/pexels-photo-27056103/free-photo-of-gunes-gozlugu-kadin-ceket-portre-modu.jpeg?auto=compress&cs=tinysrgb&w=600
Oturma Grubu	https://images.pexels.com/photos/7533755/pexels-photo-7533755.jpeg?auto=compress&cs=tinysrgb&w=600
Yemek Masası	https://images.pexels.com/photos/5716703/pexels-photo-5716703.jpeg?auto=compress&cs=tinysrgb&w=600
Gardırop	https://images.pexels.com/photos/5705490/pexels-photo-5705490.jpeg?auto=compress&cs=tinysrgb&w=600
Kanepe	https://images.pexels.com/photos/3757055/pexels-photo-3757055.jpeg?auto=compress&cs=tinysrgb&w=600
Yatak	https://images.pexels.com/photos/164595/pexels-photo-164595.jpeg?auto=compress&cs=tinysrgb&w=600
Roman Kitap	https://images.pexels.com/photos/4170629/pexels-photo-4170629.jpeg?auto=compress&cs=tinysrgb&w=600
Bilim Kurgu Kitap	https://images.pexels.com/photos/5239564/pexels-photo-5239564.jpeg?auto=compress&cs=tinysrgb&w=600
Kişisel Gelişim Kitap	https://images.pexels.com/photos/22710952/pexels-photo-22710952/free-photo-of-incil-okumak.jpeg?auto=compress&cs=tinysrgb&w=600
Çocuk Kitabı	https://images.pexels.com/photos/4964345/pexels-photo-4964345.jpeg?auto=compress&cs=tinysrgb&w=600
Sanat Kitap	https://images.pexels.com/photos/6373305/pexels-photo-6373305.jpeg?auto=compress&cs=tinysrgb&w=600
Lego Seti	https://images.pexels.com/photos/7750677/pexels-photo-7750677.jpeg?auto=compress&cs=tinysrgb&w=600
Oyuncak Araba	https://images.pexels.com/photos/35967/mini-cooper-auto-model-vehicle.jpg?auto=compress&cs=tinysrgb&w=600
Puzzle	https://images.pexels.com/photos/1586951/pexels-photo-1586951.jpeg?auto=compress&cs=tinysrgb&w=600
Peluş Oyuncak	https://images.pexels.com/photos/6182910/pexels-photo-6182910.jpeg?auto=compress&cs=tinysrgb&w=600
Masa Oyunu	https://images.pexels.com/photos/278918/pexels-photo-278918.jpeg?auto=compress&cs=tinysrgb&w=600
Koşu Ayakkabısı	https://images.pexels.com/photos/7298678/pexels-photo-7298678.jpeg?auto=compress&cs=tinysrgb&w=600
Yoga Matı	https://images.pexels.com/photos/4325439/pexels-photo-4325439.jpeg?auto=compress&cs=tinysrgb&w=600
Dambıl Seti	https://images.pexels.com/photos/260352/pexels-photo-260352.jpeg?auto=compress&cs=tinysrgb&w=600
Kamp Çadırı	https://images.pexels.com/photos/45241/tent-camp-night-star-45241.jpeg?auto=compress&cs=tinysrgb&w=600
Dağ Bisikleti	https://images.pexels.com/photos/100582/pexels-photo-100582.jpeg?auto=compress&cs=tinysrgb&w=600
Ruj	https://images.pexels.com/photos/3060257/pexels-photo-3060257.jpeg?auto=compress&cs=tinysrgb&w=600
